record_id,source_row,Document,actual_class,predicted_class,confidence
0dba3658a2a93d4e46171be7751b238a78bdf661e07e56bde01a79318b151f66,26289,access november error hello please thank regards,Hardware,HR Support,0.9996696696212836
f7220df90b9687265d7c228dea2c00f5af3396ffa0bda03e4c173070565674f9,19540,cable installation wednesday march pm neptune meeting room cable hello please log neptune meeting room cable installed thank engineer,Purchase,Hardware,0.9916209580036262
485968f05dbee663090c0f9e2900ccf6887a3563a7b87ac45f291dc450b1db39,30085,for user password wednesday user hi please log shared order share screen demo client possible created thank regards,Hardware,Access,0.9908138507377806
28a698fc46e4079bb0a72df6a0bdc548fe082537b1eac1e629a666b735783c7c,2091,install outlook on phone install phone hi please advise how install phone had change both calendar thanks head,Purchase,Administrative rights,0.9871802091991227
83b762ee058c09ef979c6e054f439d1683c23ef1b33ea9ef183fd9b5b28df9b0,36148,access for messages access for cannot access fill leaver form could you please help her thanks,Hardware,HR Support,0.984181413101428
16fec3d1163a51d6428baa2c9bbda9b9f665402c39aa72d7cafab21621b4489f,47105,access card issues sent monday october access for inca si la forms ribbon intra document la documents forms sites documents view ribbon access ii la si va sa ii fie lite laptop ne va manager,Access,Hardware,0.9791604911980036
8fe3eebef9ab6e7387320a5b133f9a37f00302e8800e76e51325d1a239c8955c,38984,what should do with old card which is pending for approval what should with old card pending for approval dear have old card submitted status pending for approval understand came because line manager however cannot approve manager or can you advise please what should with thank you sincerely manager,HR Support,Miscellaneous,0.978267198531983
b6fa60975f9d36319284a3456af20186e85aaf6753f97dcc464093b6a69fd657,36332,oracle access access hi need access could you help please thanks manager,Hardware,HR Support,0.9767748106258918
e82161e2ab84fc9981168b8694b5fe49eae4b8c698cc6107efbec4de36621ac1,41003,oracle access issue sent thursday access issue hello could you please help access applications getting error bellow after logging with thanks,Hardware,HR Support,0.976516757026736
5bfb2428196bca45c87eed6875c25821519a8a74e97853c5c42009651ae755ad,34185,oracle unable to access unable access dear when trying access get following error have urgent requests approve regards,Hardware,HR Support,0.9758205318300056
b0ab20a10dcf36ce36210428aa5d994b16d48c98d9b6c432aeaa193ca4dfe800,45532,check issues sent thursday december conversation with dear please raise call check issues assign queue thank you lot best regards technical consultant en please consider environment you really need print sent thursday december conversation with sa la tester care si sa se pot tot ca ii failed sa la ticket,Miscellaneous,Hardware,0.9734274523230864
6155a79439dd63dba334e47f598b17852df86a93d9b423e67f2bdbbdc06e6209,26623,add new team member to git wednesday november pm re add member latest he according please fix give rights over manage members by ourselves wednesday november add member hi add member mailing thank much kind regards senior developer mobile,Access,Miscellaneous,0.9712301876047844
ca2e9c154d074b3aa7a98cabca75f031d50e8e2ef2da04959cdddc661551c5c4,41097,line manager not set for approve annual leave flow hi line manager for can be seen however getting her requests for annual leave if she checks approval line only listed included approval flow line manager can you please verify correct thank you,HR Support,Miscellaneous,0.9620349618704396
